,num_clust,scATAcat_Acc,labelTransfer_Acc,scATAcat_BAcc,labelTransfer_BAcc,scATAcat_CAcc,labelTransfer_CAcc
leiden_0.1,7.0,0.8372377040079938,0.9088486732541357,0.7461758555510137,0.8883932149993138,0.8571428571428571,1.0
leiden_0.2,7.0,0.8477850560675031,0.9088486732541357,0.8530225937284918,0.8883932149993138,0.8571428571428571,1.0
leiden_0.3,10.0,0.8381184447505032,0.911537239114313,0.7669519647726827,0.9015931112648602,0.8,1.0
leiden_0.4,11.0,0.8381184447505032,0.911537239114313,0.7669839448176002,0.9015931112648602,0.8181818181818182,1.0
leiden_0.5,12.0,0.8380125013242928,0.911537239114313,0.7668965016556554,0.9015931112648602,0.8333333333333334,1.0
leiden_0.6,12.0,0.837800614471872,0.911537239114313,0.7667855754216011,0.9015931112648602,0.8333333333333334,0.9166666666666666
leiden_0.7,13.0,0.8376946710456616,0.911537239114313,0.7667323782729683,0.9015931112648602,0.8461538461538461,1.0
leiden_0.8,14.0,0.837800614471872,0.911537239114313,0.766819821434913,0.9015931112648602,0.8571428571428571,1.0
leiden_0.9,15.0,0.837800614471872,0.911537239114313,0.766819821434913,0.9015931112648602,0.8571428571428571,1.0
leiden_1.0,15.0,0.837800614471872,0.911537239114313,0.766819821434913,0.9015931112648602,0.8571428571428571,1.0
leiden_1.1,16.0,0.837800614471872,0.911537239114313,0.7674805001391302,0.9015931112648602,0.875,1.0
leiden_1.2,16.0,0.8379065578980824,0.911537239114313,0.7675679433010748,0.9015931112648602,0.875,1.0
leiden_1.3,17.0,0.8373768407670305,0.911537239114313,0.7675464680752796,0.9015931112648602,0.875,1.0
leiden_1.4,16.0,0.8380125013242928,0.911537239114313,0.7676553864630197,0.9015931112648602,0.875,1.0
leiden_1.5,16.0,0.8380125013242928,0.911537239114313,0.7676553864630197,0.9015931112648602,0.875,1.0
leiden_1.6,17.0,0.8379065578980824,0.911537239114313,0.768143584109591,0.9015931112648602,0.875,1.0
leiden_1.7,18.0,0.837800614471872,0.911537239114313,0.7679602008128935,0.9015931112648602,0.8823529411764706,1.0
leiden_1.8,19.0,0.8379065578980824,0.911537239114313,0.7681116040646735,0.9015931112648602,0.8888888888888888,1.0
leiden_1.9,19.0,0.8382243881767136,0.911537239114313,0.7683419535055901,0.9015931112648602,0.8888888888888888,1.0
leiden_2.0,20.0,0.8375887276194512,0.911537239114313,0.7679452147135919,0.9015931112648602,0.8947368421052632,1.0
leiden_2.1,20.0,0.8375887276194512,0.911537239114313,0.7679452147135919,0.9015931112648602,0.8947368421052632,1.0
leiden_2.2,20.0,0.8374827841932408,0.911537239114313,0.7679537116863998,0.9015931112648602,0.8947368421052632,1.0
leiden_2.3,21.0,0.837800614471872,0.911537239114313,0.7682557725564826,0.9015931112648602,0.9,1.0
leiden_2.4,21.0,0.8376946710456616,0.911537239114313,0.7680966179653718,0.9015931112648602,0.9,1.0
leiden_2.5,22.0,0.837800614471872,0.911537239114313,0.768216041172234,0.9015931112648602,0.8571428571428571,1.0
