,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.9160547396528705,0.8507216161154586,0.8,0.8859206965848658,0.9484536082474228,0.9877049180327869,0.9877049180327869,0.7690059884386486,0.666658669054781,0.741081234133153,5.0
leiden_0.2,0.9736315086782377,0.9498200719712115,0.8333333333333334,0.9663617013107187,0.983326207781103,0.9917355371900827,0.9836065573770492,0.9288291467319838,0.8941205612870688,0.9261879337960491,6.0
leiden_0.3,0.9746328437917223,0.9515622322499571,0.8333333333333334,0.967570078900272,0.983957219251337,0.9917355371900827,0.9836065573770492,0.9315456875831811,0.8981588821382437,0.9291054047103234,6.0
leiden_0.4,0.7080654942389327,0.7124293139886902,0.6666666666666666,0.520252827579807,0.5614387940890037,0.5131166980130338,0.9248586279773805,0.6067063279705092,0.8190335740399386,0.5413772685090704,8.0
leiden_0.5,0.7079442086112796,0.7114047238247558,0.7142857142857143,0.5200403603706611,0.5611136236984235,0.5127572941646683,0.9228094476495117,0.6063578670423859,0.818477238345029,0.5410943403439747,8.0
leiden_0.6,0.7079442086112796,0.7114047238247558,0.7142857142857143,0.5200403603706611,0.5611136236984235,0.5127572941646683,0.9228094476495117,0.6063578670423859,0.818477238345029,0.5410943403439747,9.0
leiden_0.7,0.7079442086112796,0.7114047238247558,0.7142857142857143,0.5200403603706611,0.5611136236984235,0.5127572941646683,0.9228094476495117,0.6063578670423859,0.818477238345029,0.5410943403439747,9.0
leiden_0.8,0.7079442086112796,0.7114047238247558,0.75,0.5200403603706611,0.5611136236984235,0.5127572941646683,0.9228094476495117,0.6063578670423859,0.818477238345029,0.5410943403439747,10.0
leiden_0.9,0.707337780473014,0.7062817730050837,0.75,0.5189992791357353,0.5594798856406582,0.5110492540023741,0.9125635460101673,0.604594838860495,0.8164361135657671,0.5397029842840628,10.0
leiden_1.0,0.707337780473014,0.7062817730050837,0.75,0.5189992791357353,0.5594798856406582,0.5110492540023741,0.9125635460101673,0.604594838860495,0.8164361135657671,0.5397029842840628,10.0
leiden_1.1,0.7072164948453609,0.7052571828411492,0.75,0.5187912505403448,0.5591136015591585,0.5107568704442277,0.9105143656822985,0.6043138689281733,0.8162486912980386,0.5394658140987009,10.0
leiden_1.2,0.707337780473014,0.7053681460013801,0.75,0.5190317587070092,0.5591515518756509,0.5837155963302753,0.9105143656822985,0.604439033408268,0.8161384283348787,0.5396351903707062,10.0
leiden_1.3,0.707337780473014,0.7053681460013801,0.75,0.5190317587070092,0.5591515518756509,0.5837155963302753,0.9105143656822985,0.604439033408268,0.8161384283348787,0.5396351903707062,10.0
leiden_1.4,0.7410551849605822,0.6424727896704567,0.8,0.5772871558854811,0.6089802371541503,0.8158313957169591,0.719490775118524,0.6465423848457402,0.9243945730932717,0.6000764492992336,11.0
leiden_1.5,0.7403274711946635,0.6454615187238864,0.8,0.5764738685510125,0.6059132515082172,0.8146941373843548,0.7276874964299994,0.6463614478603144,0.9250609438942831,0.5992086454192656,11.0
leiden_1.6,0.7476046088538508,0.6311058872525512,0.8,0.5849656454556159,0.6309947646892691,0.8285974756955437,0.6805563488890158,0.6508193903601704,0.9184899507431592,0.6085269031809473,12.0
leiden_1.7,0.7512431776834445,0.6289530200372536,0.9090909090909091,0.5892316350986814,0.6414870324746812,0.835116750071961,0.6682612669218027,0.6539247127599992,0.9155501360156049,0.6134262174437421,13.0
leiden_1.8,0.7426318981200728,0.6329517867090138,0.75,0.578745498871745,0.6164249316774238,0.8172123405620597,0.6949006111840978,0.6464741151425742,0.92293594251128,0.6018391795669027,14.0
leiden_1.9,0.7473620375985446,0.7574508869484436,0.8333333333333334,0.5908333530301952,0.5914264323368915,0.9012266384565009,0.9636502541840406,0.6711734548570589,0.918232081096742,0.6129256379835374,14.0
leiden_2.0,0.7508793208004851,0.6283061337263993,0.8461538461538461,0.5890447859711789,0.641328966449952,0.8339659734414797,0.6665191066430571,0.6529811243874208,0.9135127369082027,0.6127475155180722,16.0
leiden_2.1,0.7518496058217101,0.6284500580069736,0.8461538461538461,0.5905099472072949,0.6445916923554859,0.8345016877470435,0.6644699263151882,0.6536789460936817,0.9117800476000778,0.614108183950671,17.0
leiden_2.2,0.7564584596725288,0.629295226751649,0.8461538461538461,0.5964082845260655,0.657596753480737,0.8410339378549438,0.6562732050037128,0.6578410225154041,0.9062501644242695,0.6204876639854393,18.0
leiden_2.3,0.762644026682838,0.630733686567167,0.8571428571428571,0.6026054928476109,0.6705141516351372,0.8535801137592582,0.6480764836922375,0.6648649432689583,0.905682141506774,0.6290701282541291,16.0
leiden_2.4,0.7796240145542753,0.640269447312561,0.875,0.6217943176058363,0.7097212223422079,0.8723486274270815,0.6404818739551291,0.6827209564578263,0.8925082680555679,0.6531577484900223,19.0
leiden_2.5,0.7875075803517283,0.645654798720156,0.875,0.6300046924643914,0.7258036171896629,0.8801071906684517,0.6553509374260568,0.6916049983064635,0.8885550137803003,0.6644886547138351,20.0
