,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.9503448275862069,0.9565461819860936,1.0,0.9508818582899842,0.9550478451153476,0.9483011600715301,0.9638535995160314,0.9328183417954607,0.869045907134604,0.9322570598006644,4.0
leiden_0.2,0.9027431421446384,0.9321230066786607,1.0,0.9143729454789883,0.9073170731707316,0.9069767441860465,0.9411764705882353,0.8702410041613033,0.738657452685357,0.8685933590869848,5.0
leiden_0.3,0.8996259351620948,0.9332743974675344,1.0,0.912441253609568,0.9073170731707316,0.9069767441860465,0.9779411764705882,0.8688057491408945,0.7300745710656887,0.8649698220802085,5.0
leiden_0.4,0.8845700824499411,0.908007610702474,1.0,0.8842531934037096,0.8909537703942103,0.8724984327530501,0.9239413850646642,0.8510192629612017,0.7243185714271343,0.8493359487645891,7.0
leiden_0.5,0.8810365135453475,0.9063071243063653,1.0,0.8818865381139113,0.8860560304305695,0.8694443644324106,0.9227158948685857,0.8466665400269681,0.7151295896944974,0.8448210104848835,8.0
leiden_0.6,0.8816254416961131,0.9067156210383914,1.0,0.8822212228080962,0.8870600845131242,0.8696016630901288,0.9239413850646642,0.8474983098525747,0.7167266196787503,0.8456057780781538,8.0
leiden_0.7,0.8822143698468787,0.9069740189712081,1.0,0.8820067833971225,0.8885772978524995,0.8715285128659136,0.9239413850646642,0.848215761143737,0.7189262035647681,0.8463782866836302,8.0
leiden_0.8,0.8810365135453475,0.906457223105575,1.0,0.8813461581219751,0.8865954220270573,0.8696016630901288,0.9239413850646642,0.8468000392300952,0.7156810191864578,0.8448753312266886,9.0
leiden_0.9,0.7414529914529915,0.7559120827960697,0.9,0.7240308634187427,0.8056872037914692,0.8122270742358079,0.9042553191489362,0.6866184110311753,0.5480081710474318,0.679255742823462,10.0
leiden_1.0,0.7414529914529915,0.756511616916053,0.9,0.7253316718879698,0.8056872037914692,0.8122270742358079,0.9042553191489362,0.6866323460995404,0.5512561498683711,0.6794684977739099,10.0
leiden_1.1,0.7371794871794872,0.7555233938187982,0.9090909090909091,0.7223921978377101,0.7962962962962963,0.808695652173913,0.9148936170212766,0.6819521482141931,0.5420115706249132,0.6745324573855354,11.0
leiden_1.2,0.7371794871794872,0.7555233938187982,0.9090909090909091,0.7223921978377101,0.7962962962962963,0.808695652173913,0.9148936170212766,0.6819521482141931,0.5420115706249132,0.6745324573855354,11.0
leiden_1.3,0.7371794871794872,0.7555233938187982,0.9090909090909091,0.7224745502707987,0.7962962962962963,0.808695652173913,0.9148936170212766,0.682050707239796,0.5424241485443615,0.67458661918087,11.0
leiden_1.4,0.7291666666666666,0.7519438224553691,0.8461538461538461,0.7117160736605841,0.7962962962962963,0.808695652173913,0.9148936170212766,0.6728527157414105,0.5266217965584318,0.6653306040843527,13.0
leiden_1.5,0.7056623931623932,0.756944136680936,0.8333333333333334,0.7236028529113658,0.7899686520376175,0.8130434782608695,0.9148936170212766,0.6565378004118514,0.5084618940470155,0.6422800092388941,12.0
leiden_1.6,0.7377136752136753,0.7554875655339959,0.9166666666666666,0.7228416078970701,0.7962962962962963,0.8122270742358079,0.9148936170212766,0.6816651141372186,0.542492268150742,0.6748970028975009,12.0
leiden_1.7,0.7350427350427351,0.7555141207918706,0.8461538461538461,0.6959451658611518,0.7818181818181817,0.6897810218978102,0.9148936170212766,0.6819264027529723,0.5108803381010262,0.6711359952851039,13.0
leiden_1.8,0.7414529914529915,0.7590142075286133,0.8461538461538461,0.7021495107563702,0.7907949790794979,0.6991869918699187,0.9148936170212766,0.6888858212574569,0.5197370523828955,0.6786236456619683,13.0
leiden_1.9,0.7345085470085471,0.7547622410926226,0.8461538461538461,0.6959021001846881,0.7782805429864255,0.6910420475319927,0.9148936170212766,0.6811908473081576,0.5113135689600644,0.6704964206951922,13.0
leiden_2.0,0.7339743589743589,0.7564509653508883,0.8461538461538461,0.6958570229151138,0.7916230366492147,0.6984126984126984,0.9264705882352942,0.6804861916171524,0.510516935808524,0.6698826563890972,14.0
leiden_2.1,0.7339743589743589,0.7564509653508883,0.8461538461538461,0.6958570229151138,0.7916230366492147,0.6984126984126984,0.9264705882352942,0.6804861916171524,0.510516935808524,0.6698826563890972,14.0
leiden_2.2,0.719551282051282,0.7596363132671197,0.8,0.6949699516213548,0.7966804979253113,0.6984126984126984,0.9361702127659575,0.6691564730545804,0.48393189304409745,0.6560564924061556,16.0
leiden_2.3,0.7302350427350427,0.755134981419565,0.8125,0.6991353899627374,0.7958549222797927,0.7288135593220338,0.9148936170212766,0.6775334208976224,0.5041481440523954,0.6661365733653014,17.0
leiden_2.4,0.7227564102564102,0.7608985619119063,0.7777777777777778,0.7022614420467556,0.7970863683662851,0.7350427350427351,0.9148936170212766,0.6725440003209197,0.4874419242825316,0.659711705098048,18.0
leiden_2.5,0.7222222222222222,0.7642733357860063,0.7368421052631579,0.7180864360336345,0.8037974683544306,0.7350427350427351,0.9148936170212766,0.6718722943209442,0.4948571449673346,0.6597761409211251,19.0
