,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.8983976261127596,0.8749464049503891,1.0,0.8830698548962005,0.9681669262414604,0.976629583796343,0.9872699079631853,0.8729379029110496,0.8171162281033852,0.8633113615858565,7.0
leiden_0.2,0.9350904799370574,0.9184725163697638,1.0,0.9333017845019457,0.9695165734324122,0.9847283507997794,0.9973802020808323,0.913752534840479,0.867778169467267,0.9091289832244641,10.0
leiden_0.3,0.8814364932664378,0.8619637659073204,0.7,0.8132215808839325,0.9893512798602304,0.9933715966331222,0.9939788415366146,0.8529274235476946,0.9305347973051411,0.8381051029612634,13.0
leiden_0.4,0.8078663418029934,0.7824765660113433,0.8333333333333334,0.7777532661745397,0.904421768707483,0.9810126582278481,0.9897959183673469,0.7623971443944781,0.6914784217886145,0.739794770403322,16.0
leiden_0.5,0.765642658995171,0.7382157402211393,0.7692307692307693,0.7115747611620227,0.7334379330876244,0.9450933413197564,0.9869614512471655,0.7206396766637896,0.7017525336155612,0.7035397551188127,17.0
leiden_0.6,0.7388266721463064,0.71025047820427,0.7692307692307693,0.6676211867149586,0.7155406584013989,0.9003095824055627,0.9869614512471655,0.6893918902556208,0.6823424568211494,0.6678935532012511,17.0
leiden_0.7,0.7783828213294975,0.7515003819165015,0.7857142857142857,0.7283155506822032,0.7420784839029659,0.9545528577513844,0.9869614512471655,0.7357632067741245,0.7149490524788126,0.7203399397850014,18.0
leiden_0.8,0.7637932805918011,0.7363197555988623,0.7857142857142857,0.7090663389590701,0.7323796563609999,0.9424775634230796,0.9869614512471655,0.7184619555800865,0.7001440883567037,0.7010871737431461,18.0
leiden_0.9,0.7635877941025377,0.7361053473655862,0.7857142857142857,0.7086005704482502,0.7322397925196391,0.9422236435348044,0.9869614512471655,0.7182123746886788,0.6999155425992755,0.7008163135423742,19.0
leiden_1.0,0.7624576184115894,0.729177033575692,0.7333333333333333,0.705895547624495,0.731404317935492,0.9492142619759768,0.9553287981859411,0.7166791801663502,0.6966318169791161,0.6992221225378115,20.0
leiden_1.1,0.7628685913901161,0.7293999464000902,0.7058823529411765,0.7064954054571079,0.7340274968080969,0.9491001713959246,0.9536281179138322,0.7171902606234916,0.6972624104539514,0.6997729415462709,21.0
leiden_1.2,0.7603000102743245,0.7361647905535673,0.631578947368421,0.707526598786864,0.7303458284239068,0.9020134152654917,0.982484228351997,0.7137200320134051,0.6936960972222593,0.6971054387615346,23.0
leiden_1.3,0.7371827802321997,0.7025375412799464,0.5789473684210527,0.6641464229792279,0.7163595173880951,0.9033262449614372,0.9537414965986395,0.6873207032570383,0.678584866961173,0.665606705301022,23.0
leiden_1.4,0.7579369156477962,0.7272926842467146,0.631578947368421,0.7027075960962559,0.7270594198704314,0.9099584383092401,0.9499022098195652,0.7107539872818919,0.6894919263004649,0.6938326587604968,24.0
leiden_1.5,0.7334840234254598,0.7014884832066645,0.6,0.6618677524650567,0.7110393179232268,0.8636776393377023,0.9483149082322636,0.6822826808661699,0.6718279767404395,0.6612949584811543,24.0
leiden_1.6,0.7575259426692695,0.7265971393384784,0.6,0.7021565586628976,0.7260450580298097,0.9097560116682416,0.9481270795320382,0.7102312929111663,0.6887649984734214,0.6932896389627651,24.0
leiden_1.7,0.7980067810541457,0.7772160587823569,0.6666666666666666,0.7688642985524227,0.7819418327771377,0.9085519742655339,0.9828598857524478,0.7566794620541949,0.6975632632609523,0.7440111803580974,25.0
leiden_1.8,0.7722182266515977,0.7439661821934166,0.6363636363636364,0.7249117098621967,0.7658947955643904,0.8627400508968524,0.9479392508318127,0.727042526122954,0.6757088227972758,0.7097434131223721,26.0
leiden_1.9,0.7959519161615124,0.7686177196664836,0.64,0.7645976801096308,0.7817170172616157,0.9092509528679,0.9481270795320382,0.7540518125489613,0.692889295771923,0.7411826613062766,28.0
leiden_2.0,0.7960546594061441,0.7691776628193625,0.6666666666666666,0.7650649832037926,0.7805796731894901,0.9044602030535533,0.9468122786304605,0.7540633907131192,0.6930680843260206,0.7414446125455512,28.0
leiden_2.1,0.7932805918010891,0.76135958990695,0.68,0.7606202451109997,0.778228043613223,0.9033300680024148,0.9198281516463335,0.7507044530104667,0.6884335156980813,0.7376823128926568,29.0
leiden_2.2,0.7943080242474058,0.7675159170937014,0.6666666666666666,0.7627793677882508,0.778523972906777,0.9046585482876008,0.9462487925297842,0.7520159867229466,0.6908535969159874,0.7391868915803016,29.0
leiden_2.3,0.8124935785472105,0.7928627139027622,0.72,0.7885295521542304,0.7913029074207532,0.9157874431129238,0.9811694274504192,0.7734133000965252,0.7117077026579469,0.763149670391189,30.0
leiden_2.4,0.7965683756293024,0.7693764341075857,0.6923076923076923,0.7656249304526201,0.7818821165156291,0.9102709314969192,0.9477514221315875,0.754737100049931,0.6930742144479325,0.7420106577665684,31.0
leiden_2.5,0.8130072947703688,0.7864223002302552,0.7037037037037037,0.7863953468108145,0.794955263448101,0.8977160258850401,0.9452249770431589,0.7735425489603918,0.7137022390210845,0.7637940053351118,32.0
