,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.9976733364355514,0.9951135753014775,1.0,0.9955715285613801,0.9975124838743525,0.9984342379958246,0.9965965773545473,0.9963637715006998,0.9947264658022148,0.9963634025285267,5.0
leiden_0.2,0.996742671009772,0.9945911092617701,1.0,0.9937473544904641,0.9969883798670043,0.9984309623430963,0.9955516452751325,0.9949125699606921,0.992648934955623,0.9949115190179567,5.0
leiden_0.3,0.9849397590361446,0.9651642175157253,1.0,0.9666505637268543,0.9916492693110647,0.9906152241918665,0.9926854754440961,0.9780514703447488,0.9789916637440105,0.9780478569672415,7.0
leiden_0.4,0.9827882960413081,0.9591483900354412,1.0,0.9640412676158622,0.9885892116182573,0.9814624098867147,0.9958202716823407,0.9749041219042248,0.9725695787946126,0.9748655131912795,8.0
leiden_0.5,0.98407917383821,0.9598774301326465,1.0,0.9647145849542162,0.9901298701298702,0.984504132231405,0.9958202716823407,0.9767804289173067,0.9771714043614629,0.9767531264649602,9.0
leiden_0.6,0.98407917383821,0.9598774301326465,1.0,0.9646960761488224,0.9906444906444906,0.9855222337125129,0.9958202716823407,0.9767785398895481,0.9772922821665495,0.9767539685972577,10.0
leiden_0.7,0.9832185886402753,0.9593573764513241,1.0,0.9646712536871631,0.9891135303265941,0.9814814814814815,0.9963547995139733,0.9755336907391342,0.9735173393164437,0.9754886927681421,10.0
leiden_0.8,0.9827882960413081,0.9591483900354412,1.0,0.9640412676158622,0.9885892116182573,0.9814624098867147,0.9958202716823407,0.9749041219042248,0.9725695787946126,0.9748655131912795,10.0
leiden_0.9,0.9823580034423408,0.958905376669706,1.0,0.9638167449478129,0.9880767236910316,0.9804526748971193,0.9951397326852977,0.9742796454634093,0.9710393991703047,0.9742362175769326,10.0
leiden_1.0,0.9836488812392427,0.9596684437167635,1.0,0.9640690296839288,0.9901196047841914,0.9855072463768116,0.9947753396029259,0.9761506039218902,0.9763433998315322,0.9761307435871239,11.0
leiden_1.1,0.9836488812392427,0.9596684437167635,1.0,0.9640875395564066,0.9896049896049895,0.984488107549121,0.9947753396029259,0.9761521953873306,0.9762233861455344,0.9761298790600721,13.0
leiden_1.2,0.9836488812392427,0.9596684437167635,1.0,0.9640875395564066,0.9896049896049895,0.984488107549121,0.9947753396029259,0.9761521953873306,0.9762233861455344,0.9761298790600721,13.0
leiden_1.3,0.9771944922547332,0.9565336474785191,0.9090909090909091,0.9610801717330821,0.9821802935010482,0.9797619047619047,0.9791013584117032,0.9667733878366893,0.9532600759862964,0.9667209195760059,14.0
leiden_1.4,0.9771944922547332,0.9565336474785191,0.9166666666666666,0.9610801717330821,0.9821802935010482,0.9797619047619047,0.9791013584117032,0.9667733878366893,0.9532600759862964,0.9667209195760059,15.0
leiden_1.5,0.9832185886402753,0.9593914034011762,1.0,0.9642657482153785,0.9891022314478464,0.9824742268041237,0.9958202716823407,0.9755290773622476,0.9741016413200635,0.9754947632074293,14.0
leiden_1.6,0.9771944922547332,0.9565336474785191,0.9166666666666666,0.9610801717330821,0.9821802935010482,0.9797619047619047,0.9791013584117032,0.9667733878366893,0.9532600759862964,0.9667209195760059,16.0
leiden_1.7,0.9823580034423408,0.958905376669706,1.0,0.9638167449478129,0.9880767236910316,0.9804526748971193,0.9951397326852977,0.9742796454634093,0.9710393991703047,0.9742362175769326,16.0
leiden_1.8,0.9827882960413081,0.9591483900354412,1.0,0.9640412676158622,0.9885892116182573,0.9814624098867147,0.9958202716823407,0.9749041219042248,0.9725695787946126,0.9748655131912795,17.0
leiden_1.9,0.9776247848537005,0.9623458582562471,0.9333333333333333,0.9623487456809039,0.9831223628691983,0.9785969084423306,0.9738766980146291,0.9675145222990909,0.9540880992740425,0.9674257126838315,19.0
leiden_2.0,0.9780550774526678,0.96255484467213,0.8571428571428571,0.9614134174916004,0.9836584080126516,0.983273596176822,0.9749216300940439,0.9681399770244995,0.9572304411103337,0.9680677204430279,18.0
leiden_2.1,0.9784853700516352,0.963697701814987,0.8571428571428571,0.9621337383999957,0.9841772151898734,0.983273596176822,0.9749216300940439,0.968779476932416,0.9581384081105884,0.9687004378706385,18.0
leiden_2.2,0.9806368330464716,0.9638721162844612,0.9333333333333333,0.9617922388407525,0.9869178440607012,0.9884696016771488,0.9853709508881923,0.9718462938469977,0.9678332737345274,0.9718252562411853,19.0
leiden_2.3,0.9827882960413081,0.9650531561632846,0.9375,0.9632949808766483,0.9895178197064989,0.9926393270241851,0.9864158829676071,0.9749748972040687,0.9748769815379021,0.9749541234226096,20.0
leiden_2.4,0.9780550774526678,0.961820434861598,0.8823529411764706,0.9614318786353611,0.9841938883034773,0.9821002386634845,0.9759665621734587,0.9681256172912664,0.9572831161977476,0.9680557318647874,21.0
leiden_2.5,0.9832185886402753,0.9643282718521935,0.9375,0.9637681344377225,0.9905759162303664,0.9926547743966422,0.9885057471264368,0.9755771263981938,0.9759680746121367,0.9755657082038305,21.0
