,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.7464788732394366,0.735016835016835,1.0,0.6964826461681808,0.8301886792452831,0.8,0.9777777777777777,0.4967704873392198,0.2952442422125613,0.40997229916897504,3.0
leiden_0.2,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,4.0
leiden_0.3,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,4.0
leiden_0.4,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,4.0
leiden_0.5,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,4.0
leiden_0.6,0.9178082191780822,0.7277777777777777,1.0,0.6724146462147451,0.8680851063829788,0.7733333333333333,0.9555555555555555,0.8542264917714104,0.8149406089988207,0.8493810178817056,5.0
leiden_0.7,0.971830985915493,0.9774410774410774,1.0,0.9774410774410774,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9435612082670907,0.8953559484984769,0.9435612082670907,7.0
leiden_0.8,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,7.0
leiden_0.9,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,8.0
leiden_1.0,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,9.0
leiden_1.1,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,10.0
leiden_1.2,0.9315068493150684,0.9152777777777777,1.0,0.8599146462147451,0.8680851063829788,0.815,0.9555555555555555,0.8790915692002617,0.8148847889092447,0.8746565934065934,10.0
leiden_1.3,0.9315068493150684,0.9152777777777777,1.0,0.8599146462147451,0.8680851063829788,0.815,0.9555555555555555,0.8790915692002617,0.8148847889092447,0.8746565934065934,10.0
leiden_1.4,0.9436619718309859,0.9703703703703703,1.0,0.9261824912492899,0.9361702127659575,0.88,1.0,0.8969059950510357,0.8090398411218741,0.8918507235338918,11.0
leiden_1.5,0.9452054794520548,0.9777777777777777,1.0,0.9446368684369674,0.9448292924294903,0.94,1.0,0.9042004702022451,0.8179755420964218,0.8996563573883162,11.0
leiden_1.6,0.9452054794520548,0.9777777777777777,1.0,0.9446368684369674,0.9448292924294903,0.94,1.0,0.9042004702022451,0.8179755420964218,0.8996563573883162,13.0
leiden_1.7,0.9452054794520548,0.9777777777777777,1.0,0.9446368684369674,0.9448292924294903,0.94,1.0,0.9042004702022451,0.8179755420964218,0.8996563573883162,13.0
leiden_1.8,0.9178082191780822,0.9039141414141414,1.0,0.8207996292551398,0.8315217391304348,0.8125,0.9328282828282828,0.8548317448656637,0.7985417349375029,0.8506139154160982,15.0
leiden_1.9,0.8767123287671232,0.8872474747474748,1.0,0.7557876433269309,0.8315217391304348,0.8125,0.8994949494949496,0.7976548769993042,0.7001178748644203,0.7853642600457367,16.0
leiden_2.0,0.8767123287671232,0.9441919191919192,1.0,0.7872039589961117,0.8956639566395664,0.8375,0.9772727272727273,0.8031300039182854,0.6771650945341637,0.7882011605415861,16.0
leiden_2.1,0.863013698630137,0.8816919191919192,1.0,0.7413706256627783,0.8262195121951219,0.8125,0.8883838383838384,0.7805157653180784,0.6702475599813376,0.7648195876288659,18.0
leiden_2.2,0.8493150684931506,0.7566919191919192,1.0,0.6760928478850006,0.7845528455284552,0.7375,0.7861111111111111,0.7551721386536352,0.6709716191295433,0.7411347517730497,19.0
leiden_2.3,0.8904109589041096,0.7733585858585859,1.0,0.7135549872122762,0.7565217391304347,0.6875,0.8194444444444444,0.8091571913790054,0.7627652764784086,0.8034331874789633,20.0
leiden_2.4,0.9041095890410958,0.8983585858585859,1.0,0.7968883205456094,0.7898550724637681,0.7375,0.9217171717171717,0.8340445306480522,0.7658226363947604,0.8281197443659603,21.0
leiden_2.5,0.9041095890410958,0.8983585858585859,1.0,0.7968883205456094,0.7898550724637681,0.7375,0.9217171717171717,0.8340445306480522,0.7658226363947604,0.8281197443659603,24.0
